TransactionID,isFraud,TransactionDT,TransactionAmt,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,dist1,dist2,P_emaildomain,R_emaildomain,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,M1,M2,M3,M4,M5,M6,M7,M8,M9,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40
2987010,0,317283,89.35,C,7730.0,,185.0,discover,195.0,credit,239.0,87.0,8.432514,58.01533,hotmail.com,yahoo.com,9.0,6.0,39.0,23.0,4.0,18.0,4.0,2.0,7.0,39.0,25.0,36.0,6.0,31.0,475.0,316.0,225.0,2.0,319.0,23.0,127.0,415.0,257.0,490.0,221.0,335.0,312.0,472.0,585.0,T,T,T,T,T,F,F,F,T,0.0,7.0,5.0,1.0,5.0,6.0,6.0,6.0,6.0,1.0,7.0,3.0,1.0,1.0,5.0,3.0,6.0,0.0,5.0,1.0,6.0,7.0,1.0,6.0,0.0,6.0,3.0,2.0,3.0,6.0,4.0,3.0,0.0,7.0,0.0,1.0,2.0,2.0,5.0,7.0
2987011,0,364236,58.21,R,4455.0,,150.0,american express,158.0,credit,491.0,87.0,3.1446052,,hotmail.com,gmail.com,7.0,39.0,23.0,11.0,25.0,15.0,31.0,33.0,22.0,38.0,39.0,12.0,29.0,8.0,249.0,302.0,355.0,39.0,235.0,165.0,364.0,282.0,399.0,505.0,335.0,482.0,510.0,417.0,442.0,F,F,F,F,F,T,F,F,T,7.0,4.0,5.0,7.0,1.0,1.0,,5.0,3.0,3.0,4.0,7.0,7.0,1.0,4.0,0.0,7.0,5.0,7.0,6.0,2.0,7.0,1.0,4.0,2.0,3.0,2.0,6.0,5.0,0.0,1.0,0.0,3.0,5.0,0.0,7.0,6.0,5.0,5.0,0.0
2987012,0,431371,99.84,W,7506.0,245.0,150.0,american express,222.0,credit,314.0,87.0,70.9894,,yahoo.com,hotmail.com,39.0,23.0,11.0,2.0,26.0,33.0,12.0,38.0,20.0,6.0,25.0,18.0,2.0,27.0,517.0,516.0,285.0,283.0,459.0,175.0,482.0,428.0,279.0,175.0,471.0,462.0,595.0,478.0,205.0,T,T,T,F,T,F,T,T,T,3.0,5.0,6.0,3.0,4.0,3.0,,7.0,6.0,3.0,4.0,7.0,0.0,4.0,1.0,3.0,2.0,6.0,6.0,3.0,5.0,3.0,1.0,5.0,4.0,3.0,5.0,5.0,2.0,0.0,3.0,3.0,6.0,6.0,4.0,2.0,2.0,1.0,6.0,4.0
2987013,0,476737,44.41,C,11906.0,,150.0,mastercard,116.0,debit,435.0,87.0,2.7495065,,hotmail.com,hotmail.com,7.0,9.0,39.0,38.0,20.0,15.0,32.0,1.0,30.0,15.0,27.0,21.0,9.0,28.0,404.0,447.0,,158.0,60.0,404.0,10.0,381.0,443.0,352.0,109.0,531.0,437.0,353.0,293.0,F,F,F,F,F,T,F,T,F,1.0,4.0,3.0,0.0,0.0,4.0,0.0,3.0,1.0,2.0,4.0,0.0,3.0,1.0,7.0,0.0,2.0,1.0,1.0,4.0,2.0,4.0,5.0,6.0,2.0,4.0,5.0,3.0,3.0,7.0,6.0,2.0,6.0,2.0,7.0,1.0,3.0,1.0,4.0,7.0
2987014,0,479682,74.14,R,2973.0,,150.0,visa,135.0,credit,297.0,87.0,88.62791,,gmail.com,gmail.com,17.0,32.0,25.0,28.0,24.0,22.0,37.0,2.0,39.0,13.0,1.0,10.0,35.0,9.0,27.0,543.0,,53.0,436.0,537.0,95.0,197.0,515.0,36.0,116.0,399.0,418.0,388.0,67.0,F,F,T,T,T,T,F,F,F,1.0,4.0,3.0,5.0,6.0,7.0,,1.0,6.0,7.0,2.0,7.0,2.0,1.0,2.0,7.0,4.0,6.0,6.0,0.0,1.0,4.0,1.0,7.0,7.0,1.0,3.0,1.0,7.0,4.0,5.0,4.0,5.0,0.0,3.0,4.0,0.0,5.0,3.0,1.0
2987015,0,546314,64.97,S,14002.0,145.0,150.0,visa,113.0,debit,407.0,87.0,14.451975,,hotmail.com,gmail.com,19.0,33.0,9.0,24.0,36.0,3.0,25.0,22.0,7.0,13.0,3.0,2.0,35.0,39.0,166.0,330.0,360.0,,560.0,419.0,172.0,256.0,254.0,236.0,183.0,269.0,525.0,208.0,204.0,T,T,T,T,F,T,T,T,F,2.0,0.0,0.0,2.0,1.0,2.0,5.0,2.0,7.0,3.0,3.0,6.0,3.0,6.0,2.0,4.0,2.0,6.0,2.0,2.0,4.0,4.0,1.0,1.0,7.0,3.0,1.0,4.0,1.0,4.0,5.0,2.0,7.0,0.0,5.0,3.0,2.0,5.0,4.0,0.0
2987016,0,551966,128.45,W,4908.0,193.0,185.0,mastercard,198.0,debit,332.0,87.0,45.74468,,aol.com,gmail.com,27.0,38.0,12.0,30.0,20.0,12.0,30.0,1.0,4.0,16.0,24.0,11.0,1.0,11.0,562.0,551.0,197.0,271.0,78.0,261.0,566.0,578.0,164.0,90.0,162.0,78.0,587.0,239.0,409.0,F,T,T,T,F,F,T,F,F,6.0,2.0,1.0,2.0,4.0,7.0,0.0,1.0,1.0,7.0,1.0,0.0,2.0,4.0,7.0,1.0,0.0,5.0,1.0,1.0,1.0,5.0,3.0,5.0,3.0,4.0,2.0,5.0,4.0,0.0,1.0,2.0,7.0,6.0,0.0,3.0,0.0,2.0,3.0,1.0
2987017,0,650017,132.65,R,16567.0,,150.0,discover,132.0,debit,222.0,87.0,39.742096,48.50655,hotmail.com,hotmail.com,33.0,6.0,10.0,26.0,26.0,10.0,11.0,28.0,22.0,20.0,36.0,4.0,15.0,21.0,1.0,446.0,81.0,595.0,391.0,315.0,34.0,577.0,349.0,333.0,564.0,221.0,440.0,165.0,99.0,F,T,T,F,F,F,T,T,T,0.0,0.0,6.0,5.0,0.0,5.0,0.0,7.0,1.0,1.0,3.0,3.0,2.0,4.0,0.0,4.0,6.0,2.0,7.0,2.0,3.0,4.0,4.0,1.0,7.0,5.0,4.0,1.0,5.0,3.0,1.0,5.0,1.0,6.0,1.0,6.0,3.0,4.0,1.0,2.0
2987018,0,667754,9.19,S,13744.0,,185.0,visa,144.0,credit,485.0,87.0,27.836496,182.29848,yahoo.com,yahoo.com,22.0,25.0,33.0,5.0,22.0,17.0,17.0,37.0,38.0,19.0,15.0,27.0,3.0,19.0,64.0,443.0,179.0,396.0,305.0,307.0,107.0,21.0,521.0,329.0,237.0,423.0,175.0,154.0,288.0,F,T,F,T,T,T,T,T,T,0.0,3.0,7.0,7.0,1.0,5.0,,4.0,7.0,2.0,1.0,7.0,6.0,1.0,1.0,4.0,0.0,1.0,7.0,6.0,2.0,1.0,7.0,7.0,0.0,4.0,2.0,6.0,2.0,4.0,3.0,1.0,3.0,5.0,5.0,4.0,2.0,7.0,4.0,7.0
2987019,0,730279,4.61,S,5743.0,,185.0,visa,217.0,credit,411.0,87.0,16.362268,186.0971,anonymous.com,gmail.com,30.0,39.0,3.0,18.0,15.0,20.0,38.0,11.0,6.0,11.0,25.0,0.0,10.0,27.0,206.0,396.0,245.0,235.0,56.0,88.0,242.0,423.0,592.0,319.0,520.0,152.0,385.0,391.0,173.0,F,T,T,F,T,F,T,F,T,4.0,0.0,4.0,7.0,7.0,5.0,7.0,6.0,3.0,3.0,3.0,0.0,0.0,1.0,6.0,4.0,1.0,5.0,2.0,4.0,7.0,0.0,1.0,5.0,1.0,7.0,2.0,1.0,2.0,4.0,2.0,7.0,2.0,4.0,3.0,2.0,7.0,2.0,2.0,2.0
2987020,0,732357,164.34,S,10800.0,130.0,150.0,discover,150.0,credit,438.0,87.0,26.47735,99.28905,aol.com,gmail.com,22.0,32.0,29.0,35.0,35.0,28.0,32.0,11.0,19.0,39.0,8.0,12.0,38.0,36.0,596.0,201.0,96.0,,175.0,574.0,195.0,294.0,489.0,406.0,33.0,402.0,141.0,230.0,294.0,T,F,T,T,T,F,F,T,F,3.0,6.0,2.0,3.0,3.0,6.0,,2.0,5.0,4.0,7.0,0.0,1.0,3.0,2.0,4.0,7.0,1.0,0.0,7.0,4.0,6.0,2.0,1.0,2.0,7.0,1.0,3.0,5.0,4.0,0.0,2.0,5.0,1.0,0.0,6.0,4.0,4.0,2.0,2.0
2987021,0,734694,201.64,W,2926.0,,150.0,american express,120.0,debit,517.0,87.0,11.0095,43.61487,hotmail.com,gmail.com,17.0,9.0,22.0,11.0,16.0,17.0,8.0,34.0,16.0,39.0,18.0,35.0,7.0,15.0,422.0,365.0,106.0,,472.0,551.0,29.0,0.0,146.0,554.0,61.0,80.0,300.0,80.0,458.0,F,T,F,F,T,F,T,T,T,7.0,2.0,0.0,6.0,0.0,5.0,,5.0,1.0,1.0,3.0,4.0,2.0,3.0,4.0,7.0,5.0,5.0,1.0,3.0,5.0,5.0,4.0,2.0,7.0,0.0,0.0,4.0,0.0,0.0,4.0,6.0,6.0,6.0,1.0,3.0,2.0,1.0,5.0,2.0
2987022,1,741575,17.77,S,2735.0,143.0,150.0,visa,102.0,debit,209.0,87.0,31.321321,5.1091223,yahoo.com,yahoo.com,6.0,35.0,2.0,38.0,31.0,6.0,37.0,14.0,12.0,13.0,30.0,22.0,25.0,15.0,88.0,213.0,,231.0,521.0,144.0,324.0,380.0,123.0,118.0,482.0,36.0,266.0,21.0,530.0,F,F,T,T,T,T,T,F,T,6.0,5.0,0.0,1.0,5.0,5.0,,2.0,3.0,2.0,5.0,7.0,6.0,3.0,4.0,6.0,5.0,1.0,4.0,6.0,4.0,1.0,3.0,7.0,4.0,0.0,4.0,5.0,2.0,7.0,6.0,0.0,7.0,4.0,6.0,7.0,4.0,4.0,0.0,3.0
2987023,0,788494,7.06,S,17635.0,,150.0,discover,131.0,credit,140.0,87.0,0.20162775,17.341097,anonymous.com,hotmail.com,8.0,16.0,24.0,2.0,24.0,21.0,19.0,9.0,26.0,8.0,26.0,26.0,32.0,30.0,235.0,389.0,,348.0,221.0,69.0,364.0,13.0,343.0,128.0,149.0,218.0,592.0,516.0,245.0,T,T,T,F,F,F,F,F,F,5.0,0.0,5.0,6.0,1.0,3.0,,3.0,5.0,4.0,3.0,2.0,3.0,1.0,6.0,2.0,1.0,2.0,0.0,1.0,7.0,0.0,4.0,5.0,5.0,4.0,7.0,1.0,3.0,5.0,5.0,2.0,0.0,4.0,5.0,7.0,7.0,7.0,0.0,7.0
2987024,0,833539,60.88,C,14962.0,115.0,185.0,visa,228.0,debit,356.0,87.0,1.9513419,177.50786,gmail.com,gmail.com,17.0,19.0,30.0,13.0,27.0,2.0,33.0,3.0,11.0,21.0,4.0,26.0,35.0,38.0,563.0,152.0,443.0,12.0,63.0,99.0,106.0,191.0,241.0,129.0,49.0,137.0,332.0,261.0,496.0,T,F,F,F,T,F,T,T,T,2.0,0.0,5.0,7.0,4.0,3.0,2.0,5.0,7.0,2.0,7.0,6.0,0.0,7.0,4.0,1.0,2.0,4.0,1.0,6.0,3.0,1.0,1.0,1.0,5.0,6.0,7.0,2.0,1.0,1.0,0.0,3.0,4.0,0.0,6.0,3.0,1.0,5.0,2.0,0.0
2987025,0,852170,152.01,R,3686.0,,185.0,discover,176.0,credit,243.0,87.0,3.196964,9.480488,aol.com,gmail.com,1.0,22.0,29.0,14.0,30.0,33.0,20.0,33.0,19.0,14.0,35.0,11.0,14.0,36.0,131.0,479.0,76.0,,146.0,377.0,413.0,414.0,366.0,556.0,356.0,523.0,575.0,345.0,421.0,T,F,F,T,T,F,T,T,F,5.0,3.0,2.0,4.0,6.0,4.0,3.0,7.0,3.0,6.0,1.0,5.0,4.0,2.0,3.0,7.0,1.0,1.0,1.0,4.0,6.0,4.0,4.0,6.0,3.0,4.0,7.0,6.0,4.0,7.0,6.0,3.0,0.0,4.0,2.0,6.0,2.0,1.0,4.0,3.0
2987026,0,856341,394.4,R,5918.0,363.0,150.0,american express,239.0,credit,291.0,87.0,5.160536,5.031144,yahoo.com,yahoo.com,12.0,30.0,21.0,24.0,29.0,30.0,24.0,37.0,33.0,39.0,37.0,25.0,27.0,30.0,345.0,342.0,,309.0,506.0,17.0,34.0,487.0,553.0,55.0,88.0,226.0,484.0,542.0,553.0,T,F,F,F,T,T,T,T,F,4.0,6.0,1.0,4.0,5.0,6.0,4.0,4.0,0.0,3.0,6.0,1.0,5.0,6.0,4.0,5.0,5.0,6.0,7.0,0.0,7.0,4.0,7.0,5.0,7.0,1.0,5.0,2.0,4.0,2.0,3.0,0.0,2.0,5.0,7.0,5.0,4.0,5.0,6.0,4.0
2987027,0,887739,96.34,R,4439.0,,150.0,american express,130.0,credit,203.0,87.0,7.8613725,,yahoo.com,hotmail.com,18.0,4.0,13.0,7.0,22.0,9.0,6.0,3.0,15.0,17.0,19.0,8.0,19.0,28.0,278.0,426.0,,472.0,341.0,61.0,438.0,247.0,329.0,18.0,36.0,251.0,509.0,66.0,444.0,T,T,F,T,T,F,F,F,F,2.0,6.0,0.0,4.0,1.0,5.0,,5.0,3.0,7.0,5.0,2.0,3.0,3.0,5.0,0.0,4.0,5.0,2.0,5.0,7.0,1.0,5.0,0.0,7.0,4.0,5.0,4.0,7.0,1.0,1.0,1.0,3.0,6.0,7.0,6.0,0.0,3.0,4.0,0.0
2987028,0,892269,36.27,C,7875.0,,150.0,discover,149.0,debit,275.0,87.0,51.52565,222.01147,anonymous.com,yahoo.com,18.0,21.0,6.0,9.0,24.0,10.0,13.0,32.0,0.0,1.0,13.0,25.0,4.0,30.0,456.0,133.0,236.0,,258.0,388.0,155.0,485.0,213.0,96.0,243.0,242.0,101.0,562.0,330.0,F,F,T,F,F,T,F,F,T,2.0,4.0,5.0,0.0,1.0,7.0,,4.0,5.0,1.0,7.0,4.0,0.0,3.0,3.0,4.0,2.0,0.0,3.0,3.0,5.0,1.0,5.0,2.0,3.0,7.0,0.0,3.0,4.0,7.0,3.0,7.0,4.0,1.0,2.0,3.0,4.0,0.0,2.0,0.0
2987029,0,952104,20.44,S,6069.0,390.0,185.0,discover,122.0,debit,273.0,87.0,106.83619,,gmail.com,gmail.com,32.0,32.0,0.0,26.0,20.0,1.0,28.0,6.0,35.0,5.0,21.0,27.0,8.0,37.0,451.0,475.0,,501.0,8.0,87.0,134.0,503.0,521.0,461.0,330.0,190.0,465.0,422.0,404.0,F,F,F,F,T,F,F,F,T,7.0,4.0,4.0,6.0,1.0,5.0,,3.0,7.0,6.0,1.0,3.0,7.0,0.0,1.0,0.0,5.0,6.0,3.0,0.0,7.0,1.0,0.0,6.0,5.0,1.0,1.0,0.0,4.0,1.0,1.0,7.0,6.0,0.0,1.0,3.0,1.0,4.0,2.0,7.0
2987030,0,960190,55.29,S,6708.0,142.0,185.0,american express,155.0,debit,254.0,87.0,5.9398966,,yahoo.com,gmail.com,38.0,21.0,14.0,11.0,13.0,14.0,33.0,5.0,10.0,2.0,32.0,35.0,29.0,0.0,499.0,481.0,120.0,220.0,469.0,41.0,117.0,268.0,263.0,347.0,316.0,550.0,150.0,384.0,190.0,F,T,F,T,T,F,F,T,T,4.0,5.0,2.0,5.0,5.0,3.0,6.0,7.0,6.0,3.0,7.0,1.0,6.0,5.0,3.0,0.0,6.0,5.0,0.0,6.0,5.0,3.0,7.0,2.0,4.0,3.0,5.0,4.0,5.0,0.0,5.0,3.0,7.0,6.0,7.0,2.0,6.0,2.0,3.0,2.0
2987031,1,966156,39.28,C,10211.0,,150.0,discover,178.0,credit,426.0,87.0,2.0128324,52.37454,gmail.com,hotmail.com,29.0,10.0,25.0,35.0,29.0,1.0,3.0,15.0,30.0,15.0,18.0,36.0,27.0,23.0,71.0,87.0,329.0,556.0,279.0,12.0,521.0,103.0,363.0,551.0,350.0,443.0,346.0,258.0,404.0,F,T,T,T,T,T,T,T,T,3.0,5.0,5.0,6.0,5.0,4.0,,7.0,6.0,0.0,7.0,1.0,7.0,0.0,7.0,1.0,5.0,6.0,4.0,4.0,2.0,1.0,5.0,0.0,4.0,5.0,7.0,2.0,1.0,5.0,5.0,0.0,2.0,2.0,2.0,4.0,6.0,7.0,2.0,1.0
2987032,0,1000140,17.88,S,4289.0,118.0,150.0,mastercard,213.0,debit,360.0,87.0,6.6203756,77.84973,yahoo.com,hotmail.com,3.0,2.0,1.0,34.0,35.0,37.0,3.0,17.0,30.0,12.0,1.0,0.0,20.0,1.0,272.0,210.0,471.0,313.0,327.0,423.0,301.0,395.0,81.0,122.0,14.0,95.0,291.0,423.0,425.0,T,F,F,T,F,T,T,T,F,6.0,5.0,6.0,0.0,4.0,4.0,5.0,2.0,1.0,5.0,2.0,4.0,7.0,5.0,0.0,2.0,0.0,4.0,7.0,4.0,1.0,3.0,5.0,4.0,0.0,3.0,7.0,2.0,3.0,2.0,5.0,2.0,4.0,3.0,3.0,4.0,0.0,7.0,5.0,2.0
2987033,0,1034451,519.9,C,16361.0,,150.0,american express,151.0,credit,308.0,87.0,34.110043,,hotmail.com,hotmail.com,16.0,21.0,39.0,12.0,28.0,5.0,27.0,34.0,21.0,34.0,2.0,11.0,31.0,23.0,415.0,406.0,,381.0,506.0,218.0,414.0,8.0,304.0,236.0,174.0,129.0,155.0,122.0,366.0,T,T,T,F,T,F,F,T,F,2.0,0.0,4.0,6.0,3.0,6.0,,7.0,4.0,1.0,4.0,6.0,2.0,7.0,1.0,0.0,4.0,5.0,6.0,4.0,1.0,0.0,1.0,7.0,1.0,0.0,5.0,6.0,6.0,1.0,0.0,7.0,0.0,5.0,7.0,3.0,4.0,5.0,6.0,0.0
2987034,0,1038193,389.04,H,13661.0,304.0,150.0,discover,208.0,debit,149.0,87.0,50.970448,,gmail.com,yahoo.com,29.0,28.0,23.0,22.0,30.0,26.0,17.0,27.0,3.0,35.0,32.0,21.0,27.0,15.0,251.0,524.0,15.0,,337.0,170.0,122.0,535.0,255.0,333.0,206.0,48.0,590.0,181.0,61.0,F,T,T,T,T,F,T,T,T,1.0,3.0,2.0,2.0,0.0,2.0,0.0,3.0,4.0,1.0,4.0,3.0,3.0,2.0,7.0,6.0,1.0,3.0,2.0,0.0,4.0,7.0,4.0,4.0,7.0,5.0,0.0,6.0,1.0,0.0,2.0,7.0,0.0,3.0,2.0,2.0,1.0,5.0,5.0,1.0
2987035,0,1039743,190.5,R,14233.0,541.0,150.0,american express,187.0,debit,351.0,87.0,15.126249,64.283936,yahoo.com,hotmail.com,23.0,21.0,11.0,13.0,33.0,22.0,33.0,5.0,38.0,5.0,31.0,12.0,13.0,12.0,400.0,442.0,473.0,,556.0,383.0,33.0,232.0,73.0,43.0,175.0,153.0,525.0,576.0,311.0,F,F,T,F,F,T,F,T,T,7.0,6.0,0.0,6.0,6.0,1.0,0.0,5.0,3.0,4.0,0.0,7.0,7.0,7.0,6.0,3.0,2.0,1.0,0.0,2.0,1.0,7.0,5.0,7.0,1.0,5.0,7.0,2.0,2.0,1.0,3.0,6.0,7.0,7.0,7.0,3.0,4.0,2.0,3.0,0.0
2987036,0,1116848,19.83,R,3948.0,,150.0,discover,140.0,debit,177.0,87.0,14.013281,,anonymous.com,yahoo.com,18.0,39.0,38.0,13.0,14.0,9.0,2.0,23.0,27.0,37.0,30.0,24.0,11.0,35.0,381.0,283.0,,,335.0,102.0,22.0,456.0,126.0,551.0,335.0,393.0,344.0,165.0,426.0,F,F,F,F,F,F,F,T,T,6.0,3.0,6.0,7.0,5.0,1.0,,4.0,7.0,6.0,4.0,5.0,3.0,5.0,0.0,4.0,7.0,1.0,6.0,5.0,1.0,2.0,4.0,0.0,5.0,5.0,2.0,4.0,1.0,7.0,7.0,6.0,7.0,6.0,1.0,4.0,4.0,0.0,2.0,4.0
