loan_status,issue_d,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,inq_last_6mths,mths_since_last_delinq,open_acc,pub_rec,revol_bal,revol_util,total_acc,application_type,mort_acc,pub_rec_bankruptcies,fico_range_high
Fully Paid,Aug-2015,14000.0,20500.0, 36 months,8.66,99.64,F,C2,1 year,RENT,18778.1,Not Verified,debt_consolidation,FL,36.78,0.0,Sep-2003,790.0,2.0,1.0,24.0,2.0,51601.43,5.2,36.0,Individual,3.0,0.0,794.0
Current,Sep-2018,10000.0,16500.0, 60 months,10.38,451.29,A,F4,10+ years,OWN,26460.01,Source Verified,credit_card,NY,33.6,3.0,Apr-1998,670.0,5.0,56.0,20.0,2.0,55101.66,9.3,58.0,Joint App,2.0,1.0,674.0
Fully Paid,Jan-2017,30000.0,7000.0, 60 months,21.35,235.49,E,G4,< 1 year,MORTGAGE,195655.92,Verified,home_improvement,TX,35.16,2.0,Dec-2008,840.0,1.0,76.0,2.0,1.0,1262.63,8.8,38.0,Joint App,0.0,0.0,844.0
Fully Paid,Mar-2017,14000.0,37000.0, 60 months,24.43,678.38,G,G3,< 1 year,OWN,31941.93,Source Verified,credit_card,FL,25.18,0.0,Mar-1997,685.0,0.0,87.0,25.0,1.0,14365.67,95.3,56.0,Joint App,3.0,1.0,689.0
Current,Nov-2016,10500.0,26500.0, 36 months,28.2,639.1,E,D3,10+ years,OWN,86379.41,Source Verified,other,CA,25.4,1.0,Oct-2006,740.0,0.0,108.0,12.0,1.0,42591.74,68.4,58.0,Individual,4.0,0.0,744.0
Fully Paid,May-2017,37500.0,13500.0, 60 months,12.28,797.16,G,E1,1 year,MORTGAGE,39649.65,Not Verified,credit_card,TX,24.37,0.0,May-2002,810.0,4.0,78.0,15.0,0.0,45410.58,42.8,14.0,Individual,4.0,0.0,814.0
Fully Paid,Jul-2015,20000.0,17000.0, 60 months,8.13,441.07,A,D2,1 year,OWN,62805.86,Source Verified,home_improvement,FL,17.4,1.0,Dec-2002,755.0,2.0,90.0,15.0,1.0,23545.01,20.0,40.0,Joint App,0.0,1.0,759.0
Fully Paid,Nov-2012,2500.0,29500.0, 60 months,29.77,77.1,D,E1,3 years,MORTGAGE,40947.56,Not Verified,other,NY,12.88,0.0,Jan-1997,795.0,0.0,25.0,24.0,0.0,39405.28,87.4,44.0,Joint App,2.0,1.0,799.0
Fully Paid,Sep-2017,20500.0,29000.0, 36 months,9.25,933.15,F,D4,< 1 year,OWN,83861.73,Verified,other,TX,23.68,2.0,Sep-2006,790.0,1.0,40.0,9.0,0.0,36729.52,20.2,49.0,Individual,3.0,1.0,794.0
Fully Paid,Jan-2015,19000.0,19000.0, 60 months,10.36,579.37,E,D4,< 1 year,RENT,64994.93,Not Verified,debt_consolidation,FL,1.02,2.0,Dec-2004,835.0,0.0,36.0,12.0,1.0,44386.5,70.7,23.0,Individual,0.0,1.0,839.0
Fully Paid,Jun-2015,35000.0,12500.0, 36 months,12.76,987.46,G,D2,< 1 year,OWN,45753.62,Source Verified,home_improvement,CA,0.3,2.0,May-2006,745.0,4.0,7.0,3.0,1.0,43119.51,76.3,52.0,Individual,4.0,1.0,749.0
Fully Paid,Jul-2014,29000.0,27000.0, 36 months,18.85,189.74,D,E2,< 1 year,MORTGAGE,31885.18,Not Verified,debt_consolidation,FL,34.07,1.0,Feb-2006,840.0,2.0,116.0,11.0,2.0,5152.25,29.5,31.0,Joint App,0.0,0.0,844.0
Fully Paid,Mar-2013,8500.0,27000.0, 36 months,27.9,50.25,E,F2,< 1 year,OWN,70309.66,Source Verified,home_improvement,NY,1.86,1.0,Feb-1993,755.0,0.0,28.0,4.0,1.0,9495.01,50.5,25.0,Individual,1.0,0.0,759.0
Charged Off,Apr-2018,6500.0,24500.0, 36 months,24.77,394.99,C,G5,5 years,MORTGAGE,28922.31,Source Verified,credit_card,NY,20.99,0.0,Aug-2007,825.0,1.0,53.0,18.0,2.0,7963.63,22.3,12.0,Individual,4.0,1.0,829.0
Charged Off,May-2017,24500.0,3500.0, 36 months,23.43,701.12,G,E3,1 year,RENT,77380.39,Verified,other,FL,24.6,0.0,Nov-2006,795.0,3.0,42.0,27.0,2.0,55948.8,37.9,21.0,Joint App,2.0,1.0,799.0
Fully Paid,May-2016,2500.0,19500.0, 36 months,9.78,609.29,A,A4,< 1 year,MORTGAGE,289494.32,Not Verified,other,CA,7.93,1.0,Nov-1994,680.0,3.0,5.0,15.0,1.0,54812.56,96.5,58.0,Joint App,3.0,1.0,684.0
Fully Paid,Sep-2014,13500.0,25000.0, 36 months,14.46,1221.14,B,E3,< 1 year,RENT,134605.29,Not Verified,other,CA,35.83,1.0,Sep-2009,775.0,4.0,108.0,27.0,2.0,47844.74,69.3,44.0,Individual,2.0,0.0,779.0
Fully Paid,Aug-2017,6000.0,38500.0, 60 months,17.55,585.42,A,C4,3 years,MORTGAGE,92134.87,Not Verified,other,TX,7.6,2.0,Aug-2000,820.0,0.0,26.0,29.0,1.0,7003.11,84.7,44.0,Individual,3.0,0.0,824.0
Current,Sep-2015,1500.0,21500.0, 36 months,9.07,809.75,E,A3,10+ years,OWN,56876.39,Verified,credit_card,IL,35.38,0.0,Jun-1996,680.0,0.0,12.0,3.0,1.0,34456.29,54.1,54.0,Individual,0.0,1.0,684.0
Current,Jan-2015,37000.0,14500.0, 60 months,12.3,902.47,B,A2,1 year,MORTGAGE,18708.78,Verified,home_improvement,CA,30.52,1.0,Jun-1994,815.0,0.0,41.0,16.0,0.0,11233.84,23.9,18.0,Individual,3.0,1.0,819.0
Fully Paid,Jan-2015,4500.0,22500.0, 60 months,13.19,62.09,C,E5,< 1 year,MORTGAGE,27082.1,Not Verified,debt_consolidation,FL,9.63,3.0,Apr-1997,675.0,2.0,17.0,16.0,0.0,22103.04,71.3,41.0,Individual,0.0,0.0,679.0
Fully Paid,Jul-2013,1000.0,8000.0, 60 months,8.56,787.25,F,G4,1 year,MORTGAGE,129272.22,Verified,home_improvement,CA,6.03,3.0,Oct-1990,820.0,4.0,119.0,12.0,1.0,16025.48,50.1,24.0,Joint App,0.0,1.0,824.0
Fully Paid,Aug-2012,37500.0,4500.0, 60 months,19.39,536.9,C,D4,3 years,MORTGAGE,37277.54,Source Verified,debt_consolidation,TX,12.65,3.0,Nov-2003,805.0,3.0,22.0,25.0,0.0,49735.86,17.7,51.0,Individual,2.0,0.0,809.0
Fully Paid,Oct-2015,8000.0,27500.0, 36 months,23.35,649.28,B,D5,< 1 year,OWN,39357.77,Source Verified,home_improvement,TX,15.92,1.0,Mar-2004,685.0,1.0,36.0,13.0,1.0,8667.08,41.2,27.0,Joint App,2.0,1.0,689.0
Charged Off,Jan-2018,33000.0,39500.0, 60 months,7.09,177.42,A,A2,10+ years,MORTGAGE,54209.41,Not Verified,other,TX,9.83,0.0,May-2003,790.0,3.0,32.0,3.0,0.0,38770.75,63.5,51.0,Individual,0.0,0.0,794.0
Fully Paid,Jun-2012,2000.0,34000.0, 60 months,17.62,1180.75,B,E1,5 years,RENT,31658.83,Not Verified,home_improvement,CA,39.96,0.0,Jan-2001,680.0,3.0,3.0,17.0,0.0,59033.68,73.5,45.0,Joint App,3.0,1.0,684.0
Fully Paid,Nov-2017,7000.0,24000.0, 36 months,25.32,1415.33,G,A3,1 year,RENT,28679.53,Not Verified,other,FL,9.19,0.0,Apr-1997,765.0,1.0,1.0,7.0,1.0,41223.27,24.3,47.0,Joint App,1.0,1.0,769.0
Fully Paid,Aug-2017,5000.0,2500.0, 36 months,24.45,62.74,D,F2,10+ years,OWN,58088.07,Verified,debt_consolidation,NY,33.23,3.0,Jul-2004,830.0,4.0,61.0,11.0,1.0,4754.01,87.6,55.0,Joint App,4.0,0.0,834.0
Fully Paid,Nov-2013,28500.0,40000.0, 60 months,26.17,914.02,G,F3,1 year,MORTGAGE,35069.33,Source Verified,other,FL,6.36,3.0,Jul-2007,695.0,2.0,27.0,16.0,2.0,54470.97,38.0,48.0,Joint App,0.0,1.0,699.0
Fully Paid,Apr-2016,25000.0,18500.0, 36 months,16.77,1152.85,B,G2,< 1 year,MORTGAGE,38383.73,Not Verified,home_improvement,FL,39.21,3.0,Oct-1991,690.0,0.0,10.0,22.0,2.0,38584.78,27.1,22.0,Individual,1.0,0.0,694.0
Current,Feb-2013,19500.0,12000.0, 36 months,26.31,448.67,C,B2,10+ years,OWN,37469.61,Not Verified,home_improvement,TX,9.02,2.0,Sep-1997,735.0,2.0,34.0,9.0,2.0,27378.66,19.5,33.0,Joint App,1.0,0.0,739.0
Fully Paid,Mar-2017,10500.0,36000.0, 60 months,11.46,1187.71,B,B2,10+ years,OWN,81913.26,Verified,other,NY,16.87,1.0,Dec-2009,725.0,4.0,32.0,12.0,0.0,39581.55,80.4,30.0,Joint App,2.0,0.0,729.0
Current,Oct-2016,4500.0,30000.0, 60 months,14.54,959.56,C,C2,1 year,OWN,52089.81,Not Verified,home_improvement,FL,22.34,1.0,Apr-2007,665.0,4.0,50.0,3.0,1.0,52742.66,35.4,7.0,Individual,2.0,1.0,669.0
Fully Paid,Jun-2014,23000.0,30500.0, 36 months,9.81,1395.87,D,F4,3 years,MORTGAGE,53790.75,Source Verified,credit_card,IL,4.81,3.0,Dec-2009,740.0,1.0,119.0,12.0,0.0,28627.63,48.3,37.0,Individual,0.0,1.0,744.0
Current,Jun-2012,10000.0,11500.0, 60 months,17.27,1472.08,F,B3,< 1 year,MORTGAGE,85662.25,Verified,home_improvement,IL,32.67,3.0,Sep-1993,705.0,4.0,36.0,18.0,0.0,31879.29,22.3,28.0,Joint App,2.0,0.0,709.0
Current,Aug-2018,24000.0,40000.0, 36 months,15.34,92.25,C,G3,5 years,RENT,54982.83,Source Verified,home_improvement,IL,10.99,2.0,May-1999,680.0,2.0,84.0,19.0,0.0,27146.84,68.6,26.0,Individual,4.0,0.0,684.0
Current,Jan-2015,28000.0,18500.0, 60 months,11.47,684.06,F,B1,5 years,OWN,50667.89,Not Verified,other,NY,21.97,3.0,Aug-1992,710.0,2.0,92.0,10.0,1.0,4355.49,78.1,10.0,Joint App,0.0,0.0,714.0
Current,Feb-2018,34500.0,21500.0, 60 months,24.55,834.07,E,A3,5 years,OWN,79401.32,Verified,credit_card,TX,21.99,1.0,May-2007,660.0,0.0,6.0,3.0,0.0,47224.21,33.9,32.0,Joint App,1.0,1.0,664.0
Current,Aug-2016,20500.0,30500.0, 36 months,13.33,245.71,C,B1,3 years,MORTGAGE,89403.82,Verified,home_improvement,NY,24.11,1.0,Jun-2000,825.0,5.0,60.0,18.0,1.0,7584.7,94.5,36.0,Individual,2.0,0.0,829.0
Charged Off,Apr-2017,1000.0,27000.0, 36 months,12.28,524.34,G,F2,5 years,OWN,54817.01,Not Verified,home_improvement,IL,2.22,3.0,Nov-1994,840.0,5.0,53.0,20.0,0.0,23674.2,3.1,9.0,Joint App,3.0,0.0,844.0
Current,Mar-2017,12000.0,7500.0, 60 months,8.65,1481.84,D,E3,3 years,MORTGAGE,62841.1,Not Verified,debt_consolidation,IL,6.74,1.0,Oct-1991,725.0,1.0,60.0,4.0,1.0,23209.37,13.3,39.0,Joint App,0.0,0.0,729.0
Fully Paid,Apr-2013,34500.0,12500.0, 36 months,16.53,53.86,B,C1,10+ years,OWN,37456.14,Verified,debt_consolidation,IL,6.45,3.0,Oct-2004,820.0,3.0,20.0,16.0,1.0,16802.45,58.9,13.0,Individual,1.0,0.0,824.0
Fully Paid,Jun-2014,22000.0,15000.0, 36 months,13.06,695.19,G,E2,< 1 year,MORTGAGE,35724.43,Not Verified,debt_consolidation,CA,12.08,1.0,Apr-2006,745.0,4.0,55.0,4.0,0.0,24150.43,70.1,12.0,Joint App,1.0,1.0,749.0
Fully Paid,Mar-2015,25000.0,38000.0, 36 months,14.75,1268.7,G,E2,3 years,RENT,94986.35,Not Verified,home_improvement,NY,5.8,1.0,Aug-2007,825.0,3.0,14.0,14.0,0.0,37080.55,25.1,26.0,Individual,3.0,1.0,829.0
Current,May-2015,19000.0,29000.0, 60 months,11.34,506.13,A,D5,3 years,MORTGAGE,78195.33,Not Verified,credit_card,FL,36.88,0.0,Jul-2009,690.0,1.0,113.0,19.0,2.0,18683.24,55.4,25.0,Individual,0.0,0.0,694.0
Fully Paid,Apr-2012,7000.0,15000.0, 36 months,24.84,735.3,G,D5,3 years,RENT,78682.74,Verified,other,FL,20.52,2.0,May-2006,710.0,5.0,70.0,22.0,2.0,10350.72,31.8,55.0,Joint App,3.0,1.0,714.0
Fully Paid,Sep-2015,36000.0,30000.0, 60 months,29.11,1467.73,G,A1,< 1 year,OWN,70863.63,Source Verified,home_improvement,NY,24.94,1.0,Oct-2005,795.0,1.0,4.0,21.0,0.0,52162.05,55.4,7.0,Joint App,2.0,1.0,799.0
Charged Off,Jan-2013,31500.0,30000.0, 60 months,18.05,728.07,F,B4,1 year,MORTGAGE,61557.19,Not Verified,debt_consolidation,CA,14.3,1.0,Apr-2006,700.0,2.0,60.0,23.0,2.0,58249.96,65.9,23.0,Individual,1.0,0.0,704.0
Fully Paid,Jan-2017,40000.0,16500.0, 36 months,21.76,222.45,B,D4,10+ years,MORTGAGE,90930.17,Not Verified,debt_consolidation,CA,11.05,2.0,Jan-2010,810.0,2.0,111.0,8.0,0.0,27515.03,97.3,45.0,Individual,4.0,0.0,814.0
Fully Paid,Sep-2016,34500.0,16500.0, 60 months,27.5,106.03,E,A2,< 1 year,OWN,104931.73,Source Verified,credit_card,FL,20.13,0.0,Apr-1999,735.0,5.0,89.0,25.0,2.0,19621.18,45.6,17.0,Individual,4.0,0.0,739.0
Fully Paid,Apr-2018,12000.0,36000.0, 60 months,30.87,1419.76,D,D3,5 years,OWN,103438.94,Verified,other,TX,11.77,0.0,Mar-2005,730.0,3.0,32.0,11.0,0.0,2848.92,64.8,58.0,Individual,4.0,1.0,734.0
Fully Paid,Feb-2017,11000.0,23000.0, 36 months,21.01,420.74,E,A4,5 years,RENT,56361.03,Verified,debt_consolidation,TX,13.75,3.0,Jun-2006,740.0,4.0,107.0,12.0,1.0,2211.09,57.8,45.0,Individual,4.0,0.0,744.0
Fully Paid,Jul-2014,10500.0,6500.0, 60 months,28.08,770.97,E,F2,3 years,MORTGAGE,137612.31,Verified,debt_consolidation,IL,18.11,2.0,May-1992,805.0,5.0,22.0,24.0,0.0,23572.92,31.8,56.0,Joint App,1.0,0.0,809.0
Fully Paid,Aug-2018,37000.0,29000.0, 36 months,28.56,163.33,E,A1,< 1 year,RENT,68670.6,Verified,debt_consolidation,CA,20.23,2.0,Nov-2003,660.0,5.0,29.0,11.0,0.0,55814.52,25.3,57.0,Individual,4.0,0.0,664.0
Fully Paid,Oct-2014,22500.0,24000.0, 36 months,25.56,652.77,D,A2,< 1 year,RENT,87502.77,Verified,credit_card,FL,39.37,0.0,Oct-1996,795.0,5.0,18.0,4.0,1.0,43842.51,98.8,10.0,Individual,0.0,1.0,799.0
Fully Paid,Mar-2014,18500.0,21000.0, 36 months,17.1,1397.26,E,E2,1 year,OWN,70916.1,Verified,other,NY,8.93,2.0,Aug-1992,800.0,5.0,110.0,22.0,0.0,20956.17,20.7,29.0,Individual,1.0,0.0,804.0
Fully Paid,Mar-2018,39000.0,29500.0, 60 months,7.38,768.55,D,B2,< 1 year,RENT,69439.01,Not Verified,home_improvement,IL,19.52,1.0,Jun-1993,810.0,5.0,86.0,20.0,1.0,58082.79,79.0,45.0,Joint App,2.0,1.0,814.0
Charged Off,Jul-2014,24500.0,36500.0, 60 months,5.7,1457.57,A,C2,< 1 year,RENT,38505.21,Source Verified,credit_card,IL,5.98,2.0,Apr-1992,840.0,5.0,62.0,18.0,0.0,25725.47,14.7,4.0,Joint App,3.0,1.0,844.0
Fully Paid,Jul-2012,36500.0,14000.0, 36 months,17.52,410.49,A,C1,< 1 year,OWN,91200.03,Source Verified,debt_consolidation,TX,14.0,0.0,Jan-2008,800.0,3.0,80.0,6.0,0.0,16607.56,80.4,29.0,Joint App,2.0,0.0,804.0
Current,Mar-2015,39500.0,17500.0, 60 months,17.95,771.68,G,B5,< 1 year,MORTGAGE,330108.49,Not Verified,credit_card,NY,28.69,2.0,Jul-2005,755.0,0.0,31.0,19.0,2.0,25581.19,18.6,42.0,Individual,2.0,0.0,759.0
Current,Jun-2017,4000.0,8000.0, 60 months,15.73,1293.51,G,F1,10+ years,RENT,47816.35,Source Verified,home_improvement,NY,6.98,2.0,Jan-1992,745.0,0.0,8.0,7.0,2.0,12692.59,96.7,48.0,Joint App,1.0,0.0,749.0
Fully Paid,Apr-2013,15000.0,26500.0, 60 months,19.85,688.93,E,E4,5 years,MORTGAGE,62479.69,Source Verified,credit_card,CA,23.25,1.0,Jul-2002,730.0,4.0,101.0,17.0,2.0,53138.33,68.6,27.0,Joint App,2.0,0.0,734.0
Fully Paid,Feb-2015,29500.0,16500.0, 60 months,19.44,440.85,B,B4,< 1 year,OWN,45810.88,Verified,home_improvement,IL,16.67,0.0,Apr-2003,810.0,1.0,115.0,16.0,0.0,21670.4,9.0,52.0,Joint App,2.0,0.0,814.0
Fully Paid,Nov-2012,33000.0,14500.0, 36 months,26.72,1287.55,F,E4,5 years,RENT,44675.84,Source Verified,other,CA,2.06,3.0,Jun-2000,730.0,4.0,4.0,23.0,1.0,39478.14,69.3,41.0,Joint App,2.0,0.0,734.0
Current,Sep-2016,6500.0,28500.0, 60 months,8.08,603.14,B,E5,< 1 year,MORTGAGE,151247.02,Verified,debt_consolidation,TX,37.32,2.0,Mar-2002,765.0,5.0,6.0,29.0,0.0,23342.83,60.4,6.0,Joint App,2.0,0.0,769.0
Charged Off,Apr-2015,13500.0,17000.0, 36 months,11.06,810.16,C,D1,3 years,OWN,39983.31,Source Verified,credit_card,TX,16.54,2.0,Mar-2008,675.0,3.0,67.0,7.0,0.0,54103.89,33.8,19.0,Joint App,3.0,0.0,679.0
Current,Apr-2014,22500.0,19000.0, 36 months,25.6,1465.49,C,E2,< 1 year,MORTGAGE,45051.06,Not Verified,debt_consolidation,FL,31.36,3.0,Jun-2000,715.0,4.0,5.0,5.0,1.0,38542.85,26.1,56.0,Joint App,1.0,0.0,719.0
Fully Paid,Jul-2013,32500.0,18000.0, 36 months,27.0,304.13,A,G1,< 1 year,RENT,23098.07,Source Verified,home_improvement,IL,16.65,2.0,Mar-2003,705.0,1.0,86.0,17.0,1.0,29295.11,71.9,4.0,Joint App,0.0,1.0,709.0
Charged Off,Nov-2015,5000.0,11000.0, 60 months,30.77,473.06,F,D3,< 1 year,RENT,38003.48,Verified,credit_card,TX,37.49,0.0,Jun-2001,740.0,2.0,113.0,28.0,1.0,7928.58,74.1,10.0,Joint App,1.0,1.0,744.0
Fully Paid,Jul-2016,24500.0,5500.0, 60 months,27.65,75.67,D,C4,3 years,RENT,21481.77,Not Verified,credit_card,FL,11.62,1.0,Dec-1997,750.0,5.0,33.0,6.0,0.0,54115.0,32.7,23.0,Joint App,2.0,0.0,754.0
Current,Jun-2018,12500.0,33500.0, 36 months,28.08,606.0,C,D5,3 years,OWN,87472.77,Not Verified,debt_consolidation,TX,16.49,3.0,Nov-2007,790.0,4.0,35.0,15.0,2.0,32809.01,87.6,59.0,Individual,0.0,0.0,794.0
Fully Paid,Dec-2014,9500.0,4500.0, 36 months,13.35,324.27,D,F2,1 year,MORTGAGE,321199.7,Source Verified,debt_consolidation,TX,30.35,1.0,Apr-1998,735.0,1.0,103.0,13.0,2.0,17103.18,26.9,43.0,Joint App,0.0,0.0,739.0
Charged Off,Feb-2013,21000.0,13500.0, 36 months,15.58,1029.65,A,E2,5 years,MORTGAGE,48049.77,Verified,credit_card,CA,13.75,3.0,Jan-2006,685.0,5.0,42.0,10.0,0.0,52675.61,7.0,12.0,Individual,4.0,0.0,689.0
Current,Sep-2017,17000.0,27000.0, 60 months,12.16,296.54,D,A5,5 years,OWN,22025.26,Not Verified,home_improvement,NY,14.57,0.0,Feb-2002,760.0,2.0,28.0,20.0,0.0,3266.43,60.0,26.0,Joint App,1.0,1.0,764.0
Fully Paid,Apr-2016,26000.0,6000.0, 36 months,20.82,1021.97,D,D4,5 years,OWN,102744.42,Verified,debt_consolidation,TX,39.79,1.0,Oct-2003,670.0,5.0,10.0,10.0,1.0,18844.62,10.7,56.0,Individual,3.0,0.0,674.0
Charged Off,Oct-2016,13500.0,26500.0, 60 months,29.33,417.31,C,F4,3 years,MORTGAGE,38709.68,Not Verified,debt_consolidation,CA,22.22,1.0,Apr-2005,815.0,3.0,100.0,15.0,1.0,32209.7,27.7,16.0,Joint App,0.0,1.0,819.0
Fully Paid,Aug-2012,33500.0,29500.0, 36 months,14.12,552.17,F,B3,3 years,OWN,130562.61,Verified,credit_card,NY,27.58,2.0,Oct-2004,800.0,3.0,111.0,25.0,2.0,20388.86,50.7,36.0,Joint App,4.0,1.0,804.0
Current,Feb-2014,4000.0,27000.0, 36 months,19.56,542.83,B,G3,3 years,RENT,50553.25,Source Verified,home_improvement,TX,25.74,0.0,May-2001,700.0,0.0,9.0,12.0,1.0,28604.06,28.6,29.0,Joint App,1.0,1.0,704.0
Fully Paid,Mar-2017,35000.0,13000.0, 60 months,12.89,1083.63,A,F2,1 year,RENT,40982.92,Not Verified,credit_card,TX,33.12,0.0,May-2002,705.0,2.0,96.0,2.0,0.0,15858.98,21.5,46.0,Individual,1.0,0.0,709.0
Current,Sep-2017,2000.0,1500.0, 36 months,9.65,715.77,D,F4,3 years,RENT,53810.58,Verified,credit_card,IL,34.47,2.0,Mar-2000,665.0,4.0,19.0,26.0,0.0,7804.99,70.3,46.0,Joint App,3.0,1.0,669.0
Fully Paid,Dec-2014,30000.0,36000.0, 36 months,10.3,561.11,G,A2,< 1 year,OWN,94340.52,Verified,debt_consolidation,IL,22.53,1.0,Oct-1996,725.0,5.0,16.0,9.0,0.0,2211.25,54.7,50.0,Joint App,1.0,0.0,729.0
Current,Jun-2017,14500.0,13500.0, 36 months,6.78,1283.36,C,E5,10+ years,OWN,52237.07,Verified,home_improvement,FL,11.78,3.0,Aug-2004,665.0,0.0,45.0,23.0,1.0,9458.79,84.0,10.0,Individual,2.0,1.0,669.0
Current,Oct-2017,16000.0,32500.0, 60 months,29.6,870.77,A,D1,1 year,OWN,44443.11,Source Verified,other,CA,0.91,3.0,Aug-2007,830.0,0.0,52.0,23.0,0.0,57176.79,58.1,29.0,Individual,3.0,1.0,834.0
Charged Off,Aug-2014,1500.0,8500.0, 36 months,15.61,344.33,G,E3,5 years,OWN,53140.84,Source Verified,other,TX,24.58,1.0,Feb-2004,680.0,4.0,102.0,16.0,2.0,34524.19,48.3,42.0,Joint App,0.0,1.0,684.0
Current,Feb-2018,28500.0,7000.0, 36 months,26.65,1353.13,D,F2,10+ years,MORTGAGE,27914.09,Verified,home_improvement,FL,33.02,2.0,Jul-2005,780.0,2.0,83.0,4.0,2.0,29337.61,26.1,27.0,Joint App,0.0,0.0,784.0
Current,Dec-2013,7500.0,31500.0, 36 months,22.74,533.7,B,C4,3 years,MORTGAGE,75979.51,Source Verified,home_improvement,TX,18.02,1.0,Sep-2006,765.0,5.0,17.0,28.0,0.0,23059.43,79.2,41.0,Joint App,3.0,1.0,769.0
Current,Aug-2013,27000.0,38000.0, 60 months,10.21,87.3,E,D4,10+ years,RENT,20495.57,Not Verified,credit_card,TX,6.59,1.0,May-1997,700.0,0.0,70.0,21.0,2.0,42505.21,19.7,39.0,Individual,1.0,0.0,704.0
Fully Paid,Aug-2016,29500.0,34500.0, 60 months,9.79,757.06,C,E5,3 years,RENT,45868.19,Not Verified,debt_consolidation,TX,11.52,2.0,Apr-1991,805.0,2.0,105.0,13.0,1.0,8475.57,24.2,24.0,Individual,4.0,0.0,809.0
Charged Off,May-2016,34000.0,30500.0, 60 months,26.09,212.19,G,F4,< 1 year,RENT,94431.61,Verified,credit_card,TX,20.4,1.0,Oct-1996,680.0,0.0,79.0,25.0,0.0,16567.79,84.2,9.0,Joint App,4.0,0.0,684.0
Fully Paid,Dec-2012,28500.0,10500.0, 36 months,12.08,380.55,C,F2,< 1 year,MORTGAGE,71813.59,Source Verified,home_improvement,TX,33.47,0.0,Feb-2005,820.0,4.0,27.0,24.0,1.0,39354.13,74.1,58.0,Joint App,4.0,1.0,824.0
Charged Off,Sep-2017,12500.0,37000.0, 60 months,28.68,1128.25,D,C2,< 1 year,OWN,85322.4,Verified,home_improvement,CA,6.87,1.0,May-2006,795.0,5.0,15.0,23.0,1.0,28743.86,61.3,50.0,Joint App,4.0,1.0,799.0
