CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Avg_Open_To_Buy,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
768800010,Existing Customer,38.0,M,2.0,Graduate,Single,$120K +,Silver,26.0,6.0,2.0,2.0,4061.6,938.0,0.897,8758.0,37.0,0.869,0.101,3123.6,0.957278,0.042722
768800011,Attrited Customer,64.0,M,2.0,Unknown,Divorced,$60K - $80K,Platinum,35.0,1.0,5.0,5.0,24464.1,865.0,0.586,7654.0,80.0,1.968,0.537,23599.1,0.140648,0.859352
768800012,Existing Customer,37.0,F,0.0,Unknown,Married,Less than $40K,Gold,18.0,4.0,6.0,4.0,3812.2,1211.0,3.161,14788.0,71.0,0.756,0.468,2601.2,0.835874,0.164126
768800013,Existing Customer,41.0,M,5.0,Doctorate,Divorced,Less than $40K,Silver,53.0,6.0,6.0,4.0,17218.9,658.0,0.146,7909.0,63.0,2.687,0.327,16560.9,0.950421,0.049579
768800014,Existing Customer,50.0,M,3.0,High School,Single,$40K - $60K,Silver,53.0,4.0,3.0,3.0,12641.4,710.0,1.922,15971.0,92.0,0.729,0.11,11931.4,0.829901,0.170099
768800015,Existing Customer,66.0,F,1.0,Doctorate,Single,$120K +,Blue,47.0,6.0,4.0,0.0,8982.4,700.0,1.864,3884.0,138.0,1.078,0.981,8282.4,0.893889,0.106111
768800016,Existing Customer,44.0,M,2.0,Doctorate,Divorced,Less than $40K,Silver,28.0,1.0,3.0,2.0,7682.4,31.0,0.852,7428.0,62.0,1.874,0.176,7651.4,0.94633,0.05367
768800017,Existing Customer,49.0,M,4.0,College,Married,$120K +,Blue,15.0,4.0,4.0,0.0,26690.1,2336.0,1.539,14104.0,18.0,1.801,0.193,24354.1,0.930248,0.069752
768800018,Existing Customer,27.0,M,4.0,High School,Divorced,$80K - $120K,Blue,44.0,5.0,3.0,5.0,32913.1,595.0,0.298,2740.0,129.0,2.223,0.146,32318.1,0.842121,0.157879
768800019,Existing Customer,31.0,M,2.0,Unknown,Divorced,$120K +,Gold,31.0,4.0,3.0,5.0,6074.9,415.0,2.452,6287.0,131.0,1.619,0.57,5659.9,0.860792,0.139208
768800020,Existing Customer,28.0,F,1.0,Uneducated,Single,$120K +,Blue,56.0,6.0,3.0,1.0,33182.3,380.0,0.754,14024.0,51.0,3.402,0.444,32802.3,0.993795,0.006205
768800021,Existing Customer,29.0,F,3.0,High School,Married,$40K - $60K,Blue,43.0,3.0,4.0,2.0,21111.6,2488.0,0.658,11097.0,75.0,3.108,0.25,18623.6,0.889734,0.110266
768800022,Attrited Customer,67.0,M,3.0,Graduate,Single,$120K +,Gold,36.0,5.0,5.0,2.0,22662.8,1200.0,1.071,14495.0,122.0,3.253,0.429,21462.8,0.026585,0.973415
768800023,Attrited Customer,66.0,M,3.0,Uneducated,Married,Less than $40K,Silver,56.0,3.0,6.0,6.0,24920.9,823.0,3.068,9780.0,75.0,2.329,0.674,24097.9,0.175677,0.824323
768800024,Existing Customer,65.0,F,0.0,High School,Single,$40K - $60K,Silver,48.0,6.0,4.0,3.0,24728.8,1017.0,2.708,15953.0,72.0,2.35,0.282,23711.8,0.868487,0.131513
768800025,Existing Customer,28.0,M,2.0,Graduate,Divorced,$40K - $60K,Blue,33.0,1.0,0.0,5.0,28555.7,222.0,3.219,16281.0,129.0,2.254,0.915,28333.7,0.999898,0.000102
768800026,Existing Customer,29.0,M,3.0,Uneducated,Married,Less than $40K,Blue,13.0,2.0,4.0,3.0,17430.2,789.0,2.217,18027.0,117.0,1.609,0.306,16641.2,0.860538,0.139462
768800027,Existing Customer,39.0,M,5.0,Unknown,Divorced,Less than $40K,Silver,17.0,1.0,2.0,4.0,19080.4,626.0,2.254,2703.0,75.0,1.192,0.198,18454.4,0.805279,0.194721
768800028,Existing Customer,53.0,M,3.0,High School,Married,Less than $40K,Gold,32.0,5.0,0.0,3.0,12149.5,2022.0,1.632,11136.0,30.0,2.19,0.955,10127.5,0.902584,0.097416
768800029,Existing Customer,42.0,F,2.0,College,Unknown,Less than $40K,Silver,37.0,2.0,0.0,1.0,4919.7,147.0,3.078,2563.0,66.0,0.094,0.811,4772.7,0.816721,0.183279
768800030,Existing Customer,49.0,M,3.0,Unknown,Divorced,$40K - $60K,Gold,14.0,2.0,4.0,6.0,23423.0,1071.0,1.737,4624.0,97.0,0.028,0.343,22352.0,0.854814,0.145186
768800031,Attrited Customer,34.0,M,1.0,Doctorate,Single,Less than $40K,Gold,18.0,6.0,6.0,4.0,2549.8,1989.0,1.207,5908.0,45.0,3.151,0.841,560.8,0.091197,0.908803
768800032,Existing Customer,61.0,F,0.0,Unknown,Divorced,Less than $40K,Silver,43.0,3.0,3.0,5.0,10555.5,2098.0,2.177,12124.0,79.0,0.172,0.519,8457.5,0.940928,0.059072
768800033,Existing Customer,41.0,M,4.0,Graduate,Married,$120K +,Silver,46.0,1.0,3.0,6.0,4554.9,1290.0,1.857,8261.0,95.0,1.942,0.347,3264.9,0.810133,0.189867
768800034,Existing Customer,29.0,F,5.0,Doctorate,Married,Less than $40K,Silver,14.0,1.0,0.0,1.0,7746.9,560.0,0.422,16053.0,21.0,2.275,0.84,7186.9,0.889737,0.110263
768800035,Existing Customer,61.0,M,5.0,Unknown,Unknown,Less than $40K,Blue,35.0,2.0,4.0,0.0,22565.9,848.0,1.335,5876.0,84.0,0.733,0.752,21717.9,0.834328,0.165672
768800036,Existing Customer,69.0,M,3.0,Graduate,Unknown,Less than $40K,Gold,16.0,6.0,0.0,4.0,22226.7,559.0,1.065,11604.0,105.0,3.314,0.298,21667.7,0.824589,0.175411
768800037,Existing Customer,26.0,M,0.0,Uneducated,Married,Less than $40K,Gold,44.0,4.0,5.0,2.0,15365.7,1667.0,2.879,14228.0,37.0,0.703,0.607,13698.7,0.917413,0.082587
768800038,Existing Customer,46.0,F,5.0,College,Single,$60K - $80K,Silver,49.0,6.0,5.0,3.0,4420.7,736.0,1.288,18131.0,81.0,3.273,0.369,3684.7,0.901131,0.098869
768800039,Existing Customer,65.0,F,2.0,Uneducated,Married,$120K +,Silver,51.0,2.0,6.0,1.0,15773.1,1587.0,2.793,4918.0,102.0,2.823,0.001,14186.1,0.948573,0.051427
768800040,Existing Customer,59.0,M,1.0,Graduate,Single,$80K - $120K,Silver,39.0,3.0,1.0,2.0,13106.1,1651.0,1.504,13696.0,15.0,0.891,0.962,11455.1,0.978461,0.021539
768800041,Existing Customer,67.0,M,5.0,Unknown,Single,$60K - $80K,Gold,40.0,1.0,1.0,2.0,25269.3,2366.0,2.562,2033.0,93.0,0.558,0.55,22903.3,0.849336,0.150664
768800042,Existing Customer,45.0,M,4.0,Unknown,Single,Less than $40K,Platinum,53.0,3.0,2.0,2.0,20591.0,932.0,0.46,10278.0,43.0,1.17,0.598,19659.0,0.984598,0.015402
768800043,Existing Customer,43.0,F,4.0,Uneducated,Divorced,$80K - $120K,Blue,39.0,4.0,5.0,5.0,17698.0,2420.0,3.144,7948.0,61.0,1.472,0.6,15278.0,0.903598,0.096402
768800044,Existing Customer,60.0,M,1.0,Doctorate,Married,Less than $40K,Silver,32.0,5.0,1.0,4.0,17546.4,1009.0,1.634,17739.0,94.0,0.909,0.551,16537.4,0.851767,0.148233
768800045,Existing Customer,33.0,F,5.0,Uneducated,Unknown,$80K - $120K,Blue,46.0,3.0,6.0,3.0,33401.2,1713.0,0.883,14411.0,10.0,3.696,0.29,31688.2,0.969157,0.030843
768800046,Existing Customer,37.0,F,2.0,Doctorate,Divorced,$60K - $80K,Silver,38.0,5.0,1.0,0.0,26454.7,1665.0,0.821,17177.0,12.0,0.85,0.972,24789.7,0.807106,0.192894
768800047,Existing Customer,54.0,F,3.0,College,Unknown,$120K +,Blue,50.0,4.0,0.0,3.0,17877.1,2059.0,0.901,15798.0,68.0,3.073,0.622,15818.1,0.911902,0.088098
768800048,Existing Customer,58.0,M,4.0,Uneducated,Married,$40K - $60K,Silver,36.0,2.0,1.0,1.0,17289.7,1181.0,1.247,7891.0,133.0,0.589,0.671,16108.7,0.944324,0.055676
768800049,Existing Customer,31.0,M,3.0,High School,Divorced,$80K - $120K,Silver,51.0,6.0,5.0,2.0,2313.9,1995.0,2.44,13691.0,10.0,3.627,0.455,318.9,0.855996,0.144004
768800050,Existing Customer,50.0,M,1.0,College,Unknown,$60K - $80K,Silver,14.0,3.0,4.0,2.0,32614.3,894.0,3.229,1057.0,112.0,0.834,0.288,31720.3,0.972698,0.027302
768800051,Existing Customer,43.0,F,1.0,Graduate,Married,$60K - $80K,Silver,14.0,1.0,2.0,0.0,11995.6,1237.0,2.275,10538.0,19.0,1.56,0.064,10758.6,0.848057,0.151943
768800052,Existing Customer,50.0,F,2.0,Graduate,Unknown,$120K +,Platinum,17.0,6.0,4.0,2.0,9904.0,1258.0,1.86,1360.0,73.0,2.067,0.35,8646.0,0.967975,0.032025
768800053,Existing Customer,72.0,F,5.0,Graduate,Single,$80K - $120K,Platinum,37.0,6.0,4.0,1.0,34496.4,1773.0,1.525,13527.0,65.0,0.445,0.176,32723.4,0.815709,0.184291
768800054,Existing Customer,29.0,M,4.0,Unknown,Unknown,$60K - $80K,Blue,44.0,1.0,3.0,5.0,25210.8,1556.0,2.816,17886.0,70.0,3.022,0.662,23654.8,0.831986,0.168014
768800055,Existing Customer,73.0,M,2.0,High School,Single,$60K - $80K,Silver,22.0,6.0,3.0,6.0,3004.7,197.0,2.889,12757.0,20.0,1.016,0.879,2807.7,0.876197,0.123803
768800056,Existing Customer,47.0,F,4.0,Doctorate,Unknown,$80K - $120K,Platinum,19.0,6.0,0.0,0.0,3485.0,2037.0,0.996,15607.0,107.0,2.032,0.303,1448.0,0.970811,0.029189
768800057,Existing Customer,63.0,F,4.0,Unknown,Married,$40K - $60K,Gold,50.0,5.0,1.0,4.0,2281.5,1908.0,3.242,4722.0,45.0,2.034,0.333,373.5,0.828917,0.171083
768800058,Existing Customer,46.0,F,2.0,High School,Single,Less than $40K,Blue,46.0,2.0,3.0,4.0,21272.2,263.0,1.343,18375.0,110.0,2.23,0.67,21009.2,0.975088,0.024912
768800059,Existing Customer,40.0,F,2.0,College,Single,$60K - $80K,Gold,41.0,4.0,0.0,2.0,3805.2,2421.0,2.72,10409.0,95.0,0.205,0.149,1384.2,0.845946,0.154054
768800060,Existing Customer,62.0,M,5.0,College,Married,Less than $40K,Blue,34.0,4.0,3.0,3.0,32312.6,1663.0,3.287,12633.0,81.0,0.624,0.929,30649.6,0.890502,0.109498
768800061,Existing Customer,59.0,M,3.0,Uneducated,Single,Less than $40K,Blue,31.0,4.0,0.0,5.0,32429.0,213.0,2.392,14361.0,50.0,0.596,0.364,32216.0,0.870547,0.129453
768800062,Existing Customer,32.0,M,0.0,Doctorate,Single,$60K - $80K,Gold,13.0,4.0,5.0,2.0,19500.4,1237.0,0.549,12006.0,94.0,1.118,0.101,18263.4,0.823625,0.176375
768800063,Existing Customer,59.0,F,4.0,Uneducated,Married,$80K - $120K,Gold,21.0,4.0,0.0,0.0,21835.2,2105.0,1.993,6210.0,139.0,0.536,0.175,19730.2,0.988862,0.011138
768800064,Existing Customer,62.0,F,3.0,Uneducated,Divorced,$80K - $120K,Platinum,52.0,4.0,0.0,2.0,11093.3,704.0,0.404,11500.0,130.0,3.411,0.933,10389.3,0.887636,0.112364
768800065,Existing Customer,44.0,M,3.0,Uneducated,Divorced,$40K - $60K,Silver,27.0,5.0,4.0,1.0,3554.1,2349.0,2.683,12265.0,129.0,1.898,0.247,1205.1,0.938066,0.061934
768800066,Existing Customer,70.0,F,4.0,Doctorate,Unknown,$60K - $80K,Platinum,43.0,4.0,1.0,2.0,25831.7,1053.0,0.956,15920.0,38.0,2.307,0.662,24778.7,0.915054,0.084946
768800067,Existing Customer,56.0,F,5.0,College,Divorced,Less than $40K,Silver,43.0,1.0,2.0,1.0,4804.9,569.0,2.364,9164.0,86.0,1.323,0.156,4235.9,0.900343,0.099657
768800068,Existing Customer,42.0,F,1.0,Uneducated,Married,$80K - $120K,Gold,26.0,1.0,2.0,1.0,4268.1,897.0,3.094,9529.0,61.0,1.022,0.194,3371.1,0.923316,0.076684
768800069,Existing Customer,26.0,F,2.0,Unknown,Married,$40K - $60K,Blue,21.0,6.0,1.0,6.0,11732.6,1321.0,0.615,9554.0,135.0,1.862,0.879,10411.6,0.979668,0.020332
768800070,Existing Customer,58.0,M,1.0,Doctorate,Single,$80K - $120K,Blue,43.0,6.0,5.0,0.0,1850.3,1732.0,1.336,2566.0,133.0,1.089,0.148,118.3,0.939862,0.060138
768800071,Existing Customer,36.0,M,3.0,Unknown,Single,$120K +,Platinum,17.0,4.0,4.0,4.0,15795.0,2336.0,2.2,2128.0,122.0,1.271,0.019,13459.0,0.906496,0.093504
768800072,Attrited Customer,62.0,F,2.0,Doctorate,Married,$80K - $120K,Platinum,34.0,2.0,1.0,5.0,24846.7,490.0,1.427,877.0,31.0,1.675,0.501,24356.7,0.002569,0.997431
768800073,Existing Customer,51.0,F,2.0,Uneducated,Unknown,$40K - $60K,Platinum,52.0,5.0,4.0,4.0,27945.0,2417.0,0.594,12485.0,51.0,1.871,0.863,25528.0,0.921279,0.078721
768800074,Existing Customer,48.0,M,4.0,Doctorate,Divorced,$120K +,Silver,44.0,1.0,4.0,6.0,21427.3,1328.0,0.099,8039.0,102.0,3.642,0.326,20099.3,0.886624,0.113376
768800075,Existing Customer,33.0,M,2.0,Graduate,Divorced,$80K - $120K,Blue,46.0,3.0,3.0,0.0,29450.9,322.0,1.382,16070.0,107.0,0.826,0.128,29128.9,0.924953,0.075047
768800076,Existing Customer,60.0,F,2.0,Graduate,Married,$80K - $120K,Platinum,16.0,2.0,4.0,2.0,14884.3,2332.0,2.207,13132.0,55.0,1.806,0.982,12552.3,0.888714,0.111286
768800077,Existing Customer,33.0,F,2.0,Uneducated,Unknown,$120K +,Gold,21.0,1.0,6.0,1.0,29513.7,878.0,1.952,3052.0,27.0,0.553,0.677,28635.7,0.951523,0.048477
768800078,Existing Customer,46.0,M,1.0,Unknown,Married,$120K +,Blue,25.0,5.0,3.0,4.0,18191.1,1562.0,0.531,2308.0,27.0,1.295,0.851,16629.1,0.993782,0.006218
768800079,Existing Customer,66.0,F,0.0,College,Single,Less than $40K,Platinum,25.0,4.0,2.0,4.0,8815.6,1757.0,1.532,7090.0,98.0,2.654,0.752,7058.6,0.991973,0.008027
768800080,Existing Customer,70.0,M,4.0,Uneducated,Single,$120K +,Platinum,21.0,2.0,3.0,6.0,32668.4,33.0,1.256,17063.0,69.0,0.646,0.698,32635.4,0.964147,0.035853
768800081,Existing Customer,73.0,M,0.0,Uneducated,Unknown,$80K - $120K,Silver,55.0,4.0,5.0,2.0,10533.5,557.0,0.932,1384.0,73.0,2.151,0.385,9976.5,0.920352,0.079648
768800082,Existing Customer,71.0,F,1.0,Graduate,Single,$40K - $60K,Platinum,20.0,1.0,4.0,1.0,2304.7,1728.0,2.48,3878.0,115.0,1.542,0.324,576.7,0.949866,0.050134
768800083,Existing Customer,52.0,M,4.0,College,Married,$40K - $60K,Platinum,44.0,3.0,0.0,6.0,9465.2,817.0,1.053,1042.0,12.0,0.191,0.717,8648.2,0.83561,0.16439
768800084,Existing Customer,35.0,F,0.0,Uneducated,Single,$80K - $120K,Gold,38.0,4.0,3.0,4.0,13567.3,23.0,1.836,7945.0,108.0,3.452,0.717,13544.3,0.895804,0.104196
768800085,Existing Customer,66.0,M,3.0,College,Single,$40K - $60K,Gold,39.0,3.0,5.0,5.0,13059.9,58.0,3.139,18299.0,45.0,1.53,0.951,13001.9,0.851461,0.148539
768800086,Existing Customer,64.0,F,4.0,Uneducated,Married,$60K - $80K,Silver,22.0,5.0,1.0,3.0,18793.0,2080.0,1.834,12799.0,131.0,2.901,0.569,16713.0,0.800699,0.199301
768800087,Existing Customer,73.0,M,3.0,Graduate,Married,$80K - $120K,Platinum,26.0,2.0,6.0,3.0,30650.1,386.0,2.098,9380.0,134.0,1.54,0.295,30264.1,0.993348,0.006652
768800088,Existing Customer,57.0,F,1.0,Unknown,Married,$80K - $120K,Platinum,39.0,1.0,5.0,2.0,11108.0,252.0,0.249,3105.0,75.0,3.468,0.49,10856.0,0.97277,0.02723
768800089,Existing Customer,32.0,M,0.0,Uneducated,Single,$120K +,Platinum,26.0,4.0,5.0,5.0,18664.1,1415.0,0.606,6900.0,51.0,1.075,0.614,17249.1,0.90274,0.09726
768800090,Existing Customer,50.0,F,5.0,High School,Single,Less than $40K,Gold,43.0,6.0,0.0,1.0,12689.1,299.0,0.343,9938.0,40.0,1.525,0.427,12390.1,0.85083,0.14917
768800091,Existing Customer,47.0,M,1.0,Uneducated,Single,$40K - $60K,Blue,14.0,3.0,4.0,6.0,28620.6,1644.0,2.6,5450.0,33.0,2.808,0.791,26976.6,0.938595,0.061405
768800092,Existing Customer,66.0,M,4.0,College,Divorced,$120K +,Silver,16.0,1.0,3.0,1.0,6651.1,1370.0,2.842,13183.0,139.0,1.272,0.585,5281.1,0.88696,0.11304
768800093,Existing Customer,44.0,M,1.0,High School,Married,$60K - $80K,Silver,45.0,6.0,4.0,3.0,4861.9,1633.0,0.634,18125.0,34.0,1.348,0.009,3228.9,0.96067,0.03933
768800094,Existing Customer,41.0,F,0.0,Graduate,Unknown,$40K - $60K,Platinum,40.0,3.0,5.0,2.0,18076.1,1237.0,0.746,4211.0,68.0,3.681,0.57,16839.1,0.999904,9.6e-05
768800095,Existing Customer,29.0,M,4.0,High School,Unknown,$40K - $60K,Gold,14.0,2.0,2.0,4.0,23662.7,1959.0,1.099,5044.0,72.0,2.056,0.634,21703.7,0.869817,0.130183
768800096,Existing Customer,66.0,F,5.0,College,Married,$40K - $60K,Gold,52.0,4.0,3.0,4.0,27752.4,1623.0,2.01,2779.0,98.0,2.551,0.915,26129.4,0.848881,0.151119
768800097,Existing Customer,62.0,F,5.0,Doctorate,Single,$60K - $80K,Blue,13.0,2.0,4.0,6.0,20941.6,1045.0,2.114,13554.0,119.0,2.381,0.414,19896.6,0.853476,0.146524
768800098,Existing Customer,27.0,F,4.0,Unknown,Married,$40K - $60K,Platinum,55.0,6.0,5.0,5.0,27035.4,38.0,2.335,8809.0,82.0,3.063,0.574,26997.4,0.818669,0.181331
768800099,Attrited Customer,46.0,F,1.0,Uneducated,Single,$80K - $120K,Silver,45.0,2.0,5.0,1.0,14428.1,688.0,3.078,5610.0,108.0,3.189,0.475,13740.1,0.027921,0.972079
768800100,Attrited Customer,49.0,M,5.0,Unknown,Single,$60K - $80K,Blue,56.0,4.0,2.0,1.0,2525.2,330.0,1.003,4449.0,83.0,2.084,0.532,2195.2,0.110572,0.889428
768800101,Existing Customer,48.0,F,4.0,Graduate,Married,$80K - $120K,Platinum,54.0,4.0,6.0,6.0,5278.3,39.0,2.24,1777.0,66.0,1.09,0.067,5239.3,0.822879,0.177121
768800102,Existing Customer,70.0,F,1.0,Doctorate,Married,Less than $40K,Blue,26.0,2.0,0.0,3.0,2718.9,687.0,1.903,9068.0,30.0,0.084,0.897,2031.9,0.854339,0.145661
768800103,Attrited Customer,33.0,M,0.0,College,Single,$80K - $120K,Blue,46.0,3.0,3.0,0.0,12318.8,520.0,1.04,12791.0,37.0,2.273,0.91,11798.8,0.167032,0.832968
768800104,Existing Customer,40.0,M,5.0,Doctorate,Divorced,$120K +,Blue,22.0,1.0,4.0,5.0,17827.9,193.0,3.085,4734.0,66.0,3.054,0.548,17634.9,0.946432,0.053568
768800105,Existing Customer,34.0,F,1.0,Doctorate,Single,Less than $40K,Silver,33.0,4.0,0.0,4.0,13224.3,786.0,0.325,539.0,15.0,1.667,0.557,12438.3,0.821121,0.178879
768800106,Existing Customer,37.0,M,4.0,College,Unknown,$40K - $60K,Blue,23.0,5.0,3.0,0.0,19981.5,1275.0,2.421,9017.0,51.0,0.609,0.058,18706.5,0.973199,0.026801
768800107,Existing Customer,69.0,F,0.0,Graduate,Single,$80K - $120K,Platinum,34.0,6.0,4.0,5.0,17335.6,448.0,2.475,12656.0,70.0,1.066,0.598,16887.6,0.844223,0.155777
768800108,Existing Customer,71.0,M,1.0,College,Unknown,$80K - $120K,Gold,51.0,2.0,4.0,4.0,23863.0,687.0,3.112,6711.0,71.0,1.887,0.429,23176.0,0.821718,0.178282
768800109,Attrited Customer,28.0,M,1.0,Doctorate,Married,$80K - $120K,Silver,32.0,2.0,0.0,4.0,23499.8,50.0,1.763,5010.0,115.0,3.096,0.709,23449.8,0.120064,0.879936
768800110,Existing Customer,56.0,F,1.0,Unknown,Divorced,$60K - $80K,Blue,17.0,4.0,1.0,6.0,11958.9,126.0,1.094,3283.0,135.0,0.635,0.047,11832.9,0.943041,0.056959
768800111,Existing Customer,37.0,M,4.0,Unknown,Unknown,$80K - $120K,Silver,27.0,5.0,1.0,3.0,12890.1,396.0,2.814,13921.0,104.0,2.265,0.711,12494.1,0.851323,0.148677
768800112,Existing Customer,35.0,F,5.0,Graduate,Married,$80K - $120K,Blue,47.0,6.0,4.0,3.0,20793.5,1140.0,2.621,15996.0,20.0,2.787,0.287,19653.5,0.9019,0.0981
768800113,Existing Customer,40.0,F,5.0,College,Unknown,Less than $40K,Platinum,35.0,1.0,2.0,4.0,21166.8,1677.0,1.701,14346.0,63.0,3.463,0.652,19489.8,0.822323,0.177677
768800114,Existing Customer,35.0,M,4.0,High School,Single,$80K - $120K,Silver,37.0,2.0,4.0,1.0,11847.6,1985.0,2.611,9824.0,104.0,0.432,0.627,9862.6,0.997059,0.002941
768800115,Attrited Customer,49.0,M,1.0,Doctorate,Single,$60K - $80K,Silver,31.0,2.0,5.0,1.0,12364.3,1585.0,0.911,13525.0,87.0,3.428,0.227,10779.3,0.152534,0.847466
768800116,Existing Customer,73.0,F,5.0,Unknown,Divorced,Less than $40K,Blue,25.0,2.0,5.0,5.0,24395.6,1553.0,2.004,7644.0,69.0,2.225,0.44,22842.6,0.882385,0.117615
768800117,Existing Customer,54.0,F,3.0,High School,Divorced,$60K - $80K,Blue,39.0,3.0,1.0,1.0,22853.1,2356.0,2.942,950.0,66.0,2.837,0.836,20497.1,0.97033,0.02967
768800118,Existing Customer,60.0,M,3.0,College,Married,$60K - $80K,Blue,40.0,6.0,6.0,3.0,5905.2,643.0,1.081,7117.0,62.0,0.199,0.606,5262.2,0.848977,0.151023
768800119,Existing Customer,49.0,F,4.0,Unknown,Unknown,Less than $40K,Blue,52.0,1.0,1.0,1.0,16026.8,2009.0,1.644,13159.0,85.0,1.873,0.069,14017.8,0.853394,0.146606
768800120,Existing Customer,26.0,M,4.0,Unknown,Divorced,$120K +,Gold,40.0,5.0,0.0,1.0,30966.9,2359.0,3.234,12145.0,33.0,2.304,0.443,28607.9,0.9617,0.0383
768800121,Existing Customer,30.0,M,5.0,Uneducated,Unknown,$40K - $60K,Platinum,56.0,4.0,0.0,4.0,2638.9,1429.0,2.714,18307.0,77.0,1.135,0.312,1209.9,0.854668,0.145332
768800122,Existing Customer,38.0,F,3.0,High School,Single,$40K - $60K,Platinum,49.0,4.0,1.0,5.0,29725.1,2116.0,3.016,18440.0,36.0,1.597,0.642,27609.1,0.800574,0.199426
768800123,Existing Customer,37.0,M,3.0,Unknown,Divorced,$60K - $80K,Silver,16.0,5.0,6.0,3.0,6835.6,346.0,1.31,4871.0,98.0,2.051,0.615,6489.6,0.885583,0.114417
768800124,Existing Customer,66.0,F,4.0,Unknown,Single,$120K +,Platinum,30.0,1.0,1.0,0.0,18216.8,2212.0,3.388,681.0,122.0,2.044,0.01,16004.8,0.802507,0.197493
768800125,Existing Customer,66.0,F,1.0,College,Unknown,$80K - $120K,Gold,29.0,5.0,4.0,1.0,15474.2,1420.0,0.519,5439.0,76.0,0.155,0.608,14054.2,0.981958,0.018042
768800126,Existing Customer,66.0,F,1.0,Unknown,Unknown,$80K - $120K,Blue,13.0,2.0,2.0,1.0,1773.1,557.0,1.764,16258.0,60.0,1.626,0.735,1216.1,0.928363,0.071637
768800127,Existing Customer,56.0,F,3.0,High School,Unknown,$40K - $60K,Blue,20.0,4.0,0.0,6.0,31717.5,155.0,1.63,15133.0,132.0,0.791,0.769,31562.5,0.916603,0.083397
768800128,Existing Customer,52.0,M,0.0,College,Divorced,$120K +,Gold,46.0,5.0,3.0,2.0,16486.0,1812.0,2.715,2285.0,95.0,3.392,0.059,14674.0,0.840318,0.159682
